Loading internal logger. Log::Log4perl recommended for better logging
WWW::PipeViewer	0.1.5
Locale::Po4a::InProgress::NewsDebian	undef
Opcode	1.50
O	1.03
POSIX	1.97
Cwd	3.80
re	0.41
GDBM_File	1.19
Fcntl	1.14
attributes	0.33
ops	1.02
threads	2.26
lib	0.65
mro	1.25_001
SDBM_File	1.15
Encode	3.08
Storable	3.23
IO	1.46
NDBM_File	1.15
encoding	3.00
DynaLoader	1.50
Config	5.034000
Errno	1.33
Socket	2.031
B	1.82
IO::Select	1.46
IO::File	1.46
IO::Pipe	1.46
IO::Seekable	1.46
IO::Handle	1.46
IO::Dir	1.46
IO::Socket	1.46
IO::Poll	1.46
IO::Socket::UNIX	1.46
IO::Socket::INET	1.46
Hash::Util	0.25
Hash::Util::FieldHash	1.21
MIME::Base64	3.16
MIME::QuotedPrint	3.16
Sub::Util	1.55
threads::shared	1.62
File::Spec	3.80
File::Glob	1.33
File::DosGlob	1.12
File::Spec::AmigaOS	3.80
File::Spec::VMS	3.80
File::Spec::OS2	3.80
File::Spec::Mac	3.80
File::Spec::Functions	3.80
File::Spec::Epoc	3.80
File::Spec::Cygwin	3.80
File::Spec::Unix	3.80
File::Spec::Win32	3.80
Sys::Hostname	1.23
Sys::Syslog	0.36
IPC::SysV	2.09
IPC::Semaphore	2.09
IPC::Msg	2.09
IPC::SharedMem	2.09
I18N::Langinfo	0.19
Encode::Symbol	2.02
Encode::Alias	2.24
Encode::Encoding	2.08
Encode::JP	2.04
Encode::Guess	2.08
Encode::Unicode	2.18
Encode::KR	2.03
Encode::CJKConstants	2.02
Encode::TW	2.03
Encode::Encoder	2.03
Encode::GSM0338	2.09
Encode::Config	2.05
Encode::CN	2.03
Encode::EBCDIC	2.02
Encode::Byte	2.04
Encode::MIME::Name	1.03
Encode::MIME::Header	2.28
Encode::MIME::Header::ISO_2022_JP	1.09
Encode::KR::2022_KR	2.04
Encode::Unicode::UTF7	2.10
Encode::JP::H2Z	2.02
Encode::JP::JIS7	2.08
Encode::CN::HZ	2.10
Filter::Util::Call	1.60
Time::Piece	1.3401
Time::Seconds	1.3401
Time::HiRes	1.9767
Scalar::Util	1.55
Unicode::Normalize	1.28
Unicode::Collate	1.29
Unicode::Collate::Locale	1.29
Compress::Raw::Bzip2	2.101
Compress::Raw::Zlib	2.101
Data::Dumper	2.179
Digest::SHA	6.02
Digest::MD5	2.58
Math::BigInt::FastCalc	0.5009
List::Util	1.55
List::Util::XS	1.55
Devel::PPPort	3.62
Devel::Peek	1.30
PerlIO::mmap	0.017
PerlIO::via	0.18
PerlIO::scalar	0.31
PerlIO::encoding	0.30
B::Xref	1.07
B::Showlex	1.05
B::Concise	1.004
B::Terse	1.09
Symbol	1.09
filetest	1.03
Env	1.05
DirHandle	1.05
SelectSaver	1.02
bigrat	0.51
if	0.0609
perlfaq	5.20210411
Exporter	5.76
sort	2.04
